ECA,,,
Italy,SOFTWAY SRL,Acquisition of Wmware licenses,"4 9,494.88"
Italy,ECOBYTE TECHNOLOGY SRL,Additional licences,"9 2,570.64"
Italy,WORLD TRADE SERVICES SRL,Agricultural Hand Tools for Projects,"120,813.45"
Italy,PHYTO SERVICE SRL,Agricultural tools and equipments for project,"8 4,793.68"
Italy,SOFTWAY SRL,CISCO NETWORK EQUIPMENT,"352,789.55"
Italy,SFOGGIATECH SRL,Dairy Kits,"3 7,368.62"
Italy,HARPA ITALIA SRL,Disk Backup FC Part for IPSAS,"6 4,959.15"
Italy,HARPA ITALIA SRL,Disk Enclosure for Centralized GAEZ Infrastructure,"3 4,446.87"
Italy,INTERTRADE INTERNATIONAL SERVICES SRL,DNA Synthesizer for Egypt,"8 9,692.00"
Italy,CITTADINI SPA,Fishing tools for project,"5 4,512.00"
Italy,IZSLER IST ZOOPROFILATTICO SPERIMENTALE B.UBERTINI,FMDV & NSP detection kits,"8 8,238.00"
Italy,HERMAN MILLER LTD,Furniture and Fitting for open space area 7th floor - TC,"332,109.73"
Italy,HERMAN MILLER LTD,Furniture for ERP Project- Supply and Installation of Office Furniture for Open Spaces,"141,861.14"
Italy,HERMAN MILLER LTD,Furniture for ESW Open space,"6 1,662.56"
Italy,ARES LINE SRL,Furniture for Sheik Al-Zayed,"161,433.74"
Italy,COELMO SRL,Generator of 1000 KVA,"216,542.20"
Italy,CHIMICA OMNIA SRL,Lab Equipment for project,"8 0,283.48"
Italy,CHIMICA OMNIA SRL,Laboratory equipment for project,"7 0,861.10"
Italy,HERMAN MILLER LTD,Meeting furniture for OSP,"5 3,221.20"
Italy,DAL DEGAN SRL,Mistblowers,"3 1,420.00"
Italy,SOFTWAY SRL,Network equipment to replace old ones - CIOFD,"3 1,058.10"
Italy,HERMAN MILLER LTD,Office Furniture for GFCM HQ at Palazzo Blumensthil,"8 2,778.15"
Italy,HERMAN MILLER LTD,Open Space Area - FODDD,"5 0,277.28"
Italy,HERMAN MILLER LTD,Open Space Area D630/632-D660/658/656 (15 Workstations) - TCD,"4 6,397.60"
Italy,AZIENDA AGRICOLA PIETRO GIANNOCCARO,PLANTS FOR PROJECT,"4 5,322.34"
Italy,WORLD TRADE SERVICES SRL,Plastic tanks and watering cans for project,"4 3,334.90"
Italy,AYNO VIDEOCONFERENZE SRL,POLYCOM VIDEO AND AUDIO EQUIPMENT FOR EGYPT,"5 9,140.03"
Italy,AYNO VIDEOCONFERENZE SRL,Polycom Video Conference,"4 1,195.05"
Italy,AYNO VIDEOCONFERENZE SRL,POLYCOM VIDEO CONFERENCE EQUIPMENT,"4 1,704.51"
Italy,GIUSEPPE TIRASSA SRL,Purchase of Bags for Diplomatic Pouch Service,"3 5,811.97"
Italy,MARCHI SRL,Refrigerators for project,"5 1,233.45"
Italy,HARPA ITALIA SRL,Renting of memory for 11 months,"3 0,666.67"
Italy,INTERTRADE INTERNATIONAL SERVICES SRL,Rice Production Equipment,"5 2,982.50"
Italy,HARPA ITALIA SRL,SAN Storage and FC Switch,"4 5,730.77"
Italy,HARPA ITALIA SRL,SDW & TechCDR Hardware,"551,658.43"
Italy,SOFTWAY SRL,Security Switches,"3 6,652.50"
Italy,IMPEX SRL,"SEEDS (Betterave, Oignon) TO CHAD","6 0,531.55"
Italy,IMPEX SRL,Seeds for various projects,"4 7,391.56"
Italy,SUBA & UNICO S.R.L.,Seeds for various projects,"4 5,818.00"
Italy,HARPA ITALIA SRL,Server Part for IPSAS,"5 3,305.63"
Italy,ARTIGIANA DESIGN SRL,Sheikh Sayed Center,"4 7,094.13"
Italy,HARPA ITALIA SRL,Storage for Backup on Disk,"6 7,001.43"
Italy,EDISCO SRL,Technical Assistance in System Development and Support and ICT Support,"187,529.78"
Italy,EDISCO SRL,Technical Assistance in System Development and Support and ICT Support,"108,906.58"
FAO Continued,,,
Italy,ATS ADVANCED TELECOM SYSTEMS SPA,uniper Gateways,"5 5,261.00"
Italy,IMPEX SRL,Vegetable Seeds for Projects,"6 9,185.80"
Italy,SUBA & UNICO S.R.L.,Vegetable Seeds for Projects,"6 0,952.20"
Italy,SUBA & UNICO S.R.L.,Vegetable Seeds for Projects,"4 8,350.00"
Italy,SUBA & UNICO S.R.L.,VEGETABLE SEEDS TO GUATEMALA,"108,596.00"
Italy,AYNO VIDEOCONFERENZE SRL,Video Conference Equipment,"6 4,356.22"
Jamaica,KINGSTON INDUSTRIAL AGENCIES LTD.,Agriculture Machinery,"7 9,370.00"
Japan,"GERBER, J & COMPANY (JAPAN) LTD",18 units Yamaha AG200 motorcycles for variuos projects,"7 6,021.74"
Japan,EARTH REMOTE SENSING DATA ANALYSIS CENTER,253 Images for land Cover of Fouta Djallon Countries,"3 0,185.05"
Japan,OGAWA SEIKI CO. LTD,Laboratory tools and equipments for project OSRO/SOM/107/CHS,"3 5,168.00"
Japan,TOYOTA MOTOR CORPORATION,Vehicle for FAO Cambodia,"5 1,862.32"
Japan,TOYOTA MOTOR CORPORATION,Vehicle with accessories for FAO Banglandesh,"4 7,233.71"
Japan,TOYOTA MOTOR CORPORATION,Vehicle with accessories for FAO Pakistan,"5 5,345.30"
Jordan,JOVAC - JORDAN BIO INDUSTRIES CENTER,E - PPR vaccines,"150,000.00"
Jordan,SAHOURY FOR LABORATORIES & SCIENTIFIC SUPPLIES,Laboratory equipment for project,"4 0,446.00"
Jordan,VAPCO Veterinary & Agriculture Products MFG CO,Laboratory supplies,"3 0,860.00"
Jordan,JOVAC - JORDAN BIO INDUSTRIES CENTER,Vaccine for Projects,"124,000.00"
Kenya,KENYA VET. VACCINES PRODUCTION INST. (KEVEVAPI),CCPP and RVF Vaccines for Projects,"9 0,000.00"
Kenya,DEVJI MEGHJI & BROTHERS LTD,DAP Fertilizers,"101,500.00"
Kenya,KARI KATUMANI RESEARCH CENTRE,Drought Seeds,"149,800.00"
Kenya,DEVJI MEGHJI & BROTHERS LTD,Fertilizer for various projects,"1,033,500.00"
Kenya,DEVJI MEGHJI & BROTHERS LTD,Fertilizers DAP & NPK,"119,655.00"
Kenya,GLOBAL LINK TRADING & LOGISTICS LTD,transportation of goods purchased under FPO SOM,"650,000.00"
Kenya,KENHORN JUBA (K) LTD,transportation of goods,"655,727.00"
Kenya,KICKSTART INTERNATIONAL INC,Presure pump for project,"4 0,961.64"
Kenya,DRYLAND SEED LIMITED (DSL),Sorghum Seeds,"6 8,000.00"
Kenya,DEVJI MEGHJI & BROTHERS LTD,Urea,"6 9,500.00"
Kenya,SAFARI SEEDS LIMITED,Vegetable seeds for Projects,"7 6,550.00"
Kenya,BOVIQUINE SUPPLIERS,Veterinary Drugs for Projects,"239,119.30"
Lebanon,LIBAN SOL SARL,Dairy Equipment,"6 5,080.00"
Lebanon,LIBAN SOL SARL,ELECTRIC GENERATORS,"139,426.00"
Lebanon,ARD (UNIFERT) SAL,KNAPSACK SPRAYERS,"196,100.00"
Lebanon,N.J. SH. LATHE WORKS EST,Micro Dairy Units,"152,400.00"
Lebanon,LIBAN SOL SARL,MILK REFRIGERATION EQUIPMENT,"279,170.00"
Lebanon,ARD (UNIFERT) SAL,Repackaging of vegetable seeds,"8 5,000.00"
Lebanon,ARD (UNIFERT) SAL,WATER COOLING FOR MILK CENTRES,"332,040.90"
Mali,TOGUNA AGRO INDUSTRIES,Fertilizer Urea and NPK,"657,230.02"
Mali,TOGUNA AGRO INDUSTRIES,Fertilizers UREA 46% and NPK 15-15-15,"303,100.00"
Mexico,NOVATEC PAGANI SA DE CV,Animal cages for project,"3 5,146.00"
Netherlands,INTERVET INTERNATIONAL BV,Bivalent  Vaccines for Turkey,"733,850.00"
Netherlands,JSB,Chomatographic equipment for project,"9 8,539.57"
Netherlands,SIMONIS BV INDUSTRIE-EN HANDELSONDERNERNING,Fertilizer NPK 15-15-15 and UREA 46%,"237,762.50"
Netherlands,BAKKER BROTHERS ZAADTEELT EN ZAADHANDEL BV,Forage and Vegetable Seeds for Project,"6 5,934.50"
Netherlands,AGRICO BV,Kondor Potato Seeds for Projects,"9 6,480.00"
Netherlands,BAKKER BROTHERS ZAADTEELT EN ZAADHANDEL BV,Seeds for various projects,"3 9,549.00"
Netherlands,BAKKER BROTHERS ZAADTEELT EN ZAADHANDEL BV,Seeds to Chad,"4 7,596.80"
Netherlands,BAKKER BROTHERS ZAADTEELT EN ZAADHANDEL BV,SEEDS TO CHAD,"3 5,090.50"
Netherlands,BAKKER BROTHERS ZAADTEELT EN ZAADHANDEL BV,Vegetable seeds for Projects,"124,091.50"
Netherlands,BAKKER BROTHERS ZAADTEELT EN ZAADHANDEL BV,Vegetable Seeds for Projects,"9 9,429.00"
Netherlands,AUTOCAR INTERNATIONAL BV,Vehicle for project,"4 1,950.00"
Netherlands,TRANSMOTORS BV,Vehicle for project,"3 5,106.00"
Netherlands,AUTOCAR INTERNATIONAL BV,Vehicle for various projects,"106,220.00"
Nicaragua,COOP DE PROD AGROPECUARIA DE INICIATIVAS LOCAL RL,Bean Seeds,"9 6,524.56"
Nicaragua,SAGSA DISAGRO S.A.,Fertilizers,"253,128.51"
Nicaragua,HORTICOLA ECOLOGISTA - HORTECO,Maize seeds,"4 8,965.10"
Nicaragua,DUWEST NICARAGUA,Pesticides for Project,"3 5,358.50"
Nicaragua,AGROPECUARIO EN GENERAL S.A. (AGROGENSA),Potato seeds,"197,106.10"
Nicaragua,AGROPECUARIO EN GENERAL S.A. (AGROGENSA),Potato seeds,"125,445.22"
Occupied Palestinian territory,AL MAKHARZEH STORES,FODDER TO PALESTINE,"2,029,140.00"
Pakistan,SAREMCO INTERNATIONAL,Animal Compound Feed,"448,247.40"
Pakistan,CHAPPAL TRADERS,Animal Feed,"1,710,882.99"
Pakistan,ICI PAKISTAN,Animal Feed,"411,302.93"
Pakistan,ICI PAKISTAN,Compound Animal Feed,"917,907.44"
Pakistan,SAREMCO INTERNATIONAL,Compound Animal Feed,"911,006.32"
Pakistan,JOINT VENTURE,DAP AND UREA,"1,573,565.50"
Pakistan,ICI PAKISTAN,Sunflower Seeds.,"476,677.60"
Panama,PROMOTORA LUX SA,Engine for project,"4 6,342.00"
Philippines,LITO ARENAS,Bucks and does for Project,"211,797.40"
Philippines,JHT MICRO ENTERPRISES,Sheredders Chippers for Philippines,"259,235.00"
Russian Federation,"FEDERAL GOVERNMENTAL INSTITUTION (FGI ""ARRIAH"")","FMD Vaccines for Armenia, Georgia & Azerbaijan","289,394.40"
Russian Federation,"FEDERAL GOVERNMENTAL INSTITUTION (FGI ""ARRIAH"")",FMD Vaccines for PAKISTAN,"183,375.00"
Russian Federation,"FEDERAL GOVERNMENTAL INSTITUTION (FGI ""ARRIAH"")","Vaccines for Georgia, Armenia & Azerbaijan","190,256.00"
Rwanda,FIDEX DISTRIBUTION SARL,Vehicle for project,"7 9,000.00"
Rwanda,FIDEX DISTRIBUTION SARL,Vehicle for project,"7 9,000.00"
Rwanda,FIDEX DISTRIBUTION SARL,Vehicle for project,"3 9,500.00"
Rwanda,OSTERGAARD RWANDA LTD,Vehicle for project,"4 1,500.00"
Senegal,SENCHIM,Project OSRO/LIR/101/CHA & GCP/LIR/014/EC,"145,380.00"
South Africa,V & M GRAINS CC,Fertilizer Compound C,"9 5,840.00"
South Africa,V & M GRAINS CC,Fertilizers (CAN + D NPK 7:14:7),"527,500.00"
Spain,ANONIMA ESPAÑOLA DE COMERCIO Y ECONOMIA SA,Agricultural machinery for project,"8 6,671.35"
Spain,NOVEDADES AGRICOLAS S.A.,Items of miscellaneous irrigation equipment & material,"226,831.37"
Spain,EUROTRADE COMMERCE SL,Laboratory equipments for project,"3 4,927.84"
Spain,RIEGOS DE CASTILLA Y LEON S.A.,Miscellaneous sprinkler irrigation material (40 items),"141,196.85"
Sri Lanka,AGSTAR SEEDS (PVT) LTD,SEEDS,"145,395.46"
Sri Lanka,SUPREME MARKETING COMPANY,SEEDS,"142,520.00"
Sri Lanka,EDNA ENGINEERING (PVT) LTD,"Self priming 2""X 2"" engine driven water pump and spare parts","1,342,000.00"
Sri Lanka,EDNA ENGINEERING (PVT) LTD,Self Priming engine driven water pumps,"391,925.00"
Sudan,DOCTORS CO. LTD,Vaccines,"6 9,225.00"
Swaziland,AFRITOOL PTY LTD,Agricultural tools for project,"112,200.00"
Swaziland,AFRITOOL PTY LTD,Agricultural tools for project,"4 4,423.55"
Swaziland,AFRITOOL PTY LTD,Agricultural tools for project,"3 3,183.00"
Swaziland,AFRITOOL PTY LTD,Agricultural tools for project,"3 6,000.00"
Swaziland,AFRITOOL PTY LTD,Hoes without handle,"106,229.76"
Swaziland,AFRITOOL PTY LTD,Motorcycles to Zimbabwe,"1,148,970.00"
Sweden,BCC AB,RIGID CONTAINERS TO ARMENIA,"3 7,778.25"
Sweden,BIAB INTERNATIONAL AB,Water filters for project,"7 7,400.00"
Switzerland,PRIONICS AG,Antibody Detection Elisa,"3 7,352.00"
Switzerland,YARA SWITZERLAND LTD,Fertilizer NPK 15-15-15,"830,060.00"
Switzerland,PRIONICS AG,FMD serosurveillance FMD Elisa Ab-O type,"3 0,400.00"
Switzerland,GLOBAL MOUNTAIN BIODIVERSITY ASSESSMENT GMBA,"Puchase of publications ""Mountain Biodiversity and Global Change""","8 0,322.58"
Syrian Arab Republic,RURAL WOMEN EMPOWERMENT DIRECTORATE (RWED),Ewes with lambs,"229,840.36"
Syrian Arab Republic,GENERAL ORGANIZATION FOR FODDER,Wheat bran and Barley,"415,030.00"
Turkey,IPEK YEM VE GIDA SANAYI TICARET AS,Additional qty of Animal feed for project,"1,098,000.00"
Turkey,IPEK YEM VE GIDA SANAYI TICARET AS,Animal Feed for project,"2,645,000.00"
Turkey,OST OLGUN DIS TICARET AS,Fertilizer for Iraq,"8 3,875.00"
Uganda,TIANJIN MACHINERY COMPANY (U) LTD,Hand Tools,"206,700.90"
United Arab Emirates,WORLD FOOD PROGRAMME,2 TOYOTA LAND CRUISERS,"9 1,138.80"
United Arab Emirates,AGRI COMMODITIES & FINANCE FZE,Fertilizer for various projects,"2,325,000.00"
United Arab Emirates,NATIONAL UNITED TRADING AND INVEST CO LLC (NUTICO),Fertilizer UREA (46-0-0),"3 9,784.00"
United Arab Emirates,NATIONAL UNITED TRADING AND INVEST CO LLC (NUTICO),Fertilizers for project,"228,100.00"
United Arab Emirates,AL WATHBA MARIONNET LLC,Seedlings for project,"8 9,130.00"
United Arab Emirates,NATIONAL UNITED TRADING AND INVEST CO LLC (NUTICO),UREA Fertilizer (granular),"7 3,650.00"
United Arab Emirates,NATIONAL UNITED TRADING AND INVEST CO LLC (NUTICO),Urea fertilizer for Burundi,"375,177.00"
United Arab Emirates,OKI GENERAL TRADING LLC,Vehicle for project,"9 2,000.00"
United Arab Emirates,STREIT GROUP FZE,Vehicle for project,"106,300.00"
United Arab Emirates,OKI GENERAL TRADING LLC,Vehicle for project,"8 8,750.00"
United Arab Emirates,WORLD FOOD PROGRAMME,Vehicle for project,"4 3,747.00"
United Arab Emirates,STREIT GROUP FZE,Vehicle for project OSRO/AFG/102/JPN,"106,300.00"
United Arab Emirates,STREIT GROUP FZE,Vehicles for project,"850,400.00"
United Arab Emirates,OKI GENERAL TRADING LLC,Vehicles for project,"191,041.80"
FAO Continued,,,
United Arab Emirates,STREIT GROUP FZE,Vehicles for project,"528,500.00"
United Arab Emirates,STREIT GROUP FZE,Vehicles for project,"318,900.00"
United Arab Emirates,UNITED MERCANTILE RESOURCES FZC,Vehicles for project,"9 8,500.00"
United Kingdom,PBSC LTD,Additional Items for Gas tight Doors.,"9 5,124.15"
United Kingdom,SCIENTIFIC LABORATORY SUPPLIES LIMITED,Laboratory Equipment,"6 4,606.15"
United Kingdom,BIOLOGICAL DIAGNOSTIC SUPPLIES LIMITED,Laboratory Expendables for,"138,126.18"
United Kingdom,MICRON SPRAYERS LIMITED,Locust Control operations (Spraying Equipment),"106,878.00"
United Kingdom,VEOLIA ENVIRONMENTAL SERVICES,METALLIC DRUMS,"275,972.50"
United Kingdom,MICRON SPRAYERS LIMITED,"Micron sprayers for Locust Control for Afghanistan, Tajikistan and Kyrgyzstan","6 3,123.63"
United Kingdom,WA PRODUCTS UK LTD,PPE + VIRKON - AGAHD,"9 7,010.00"
United Kingdom,WA PRODUCTS UK LTD,Protective equipment,"3 1,280.00"
United Kingdom,BIOLOGICAL DIAGNOSTIC SUPPLIES LIMITED,Reagents for project,"3 4,316.00"
United Kingdom,GREENHAM EXPORT,Safety clothing project OSRO/ETH/105/CHA,"116,680.00"
United Kingdom,SWETS INFORMATION SERVICES,Subscription to Swets,"296,618.51"
United Kingdom,VEOLIA ENVIRONMENTAL SERVICES,TOOLS AND HANDLING EQUIPMENT,"4 0,010.44"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for FAO Ethiopia,"4 7,776.23"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for FAO Gambia,"6 2,539.00"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for FAO Guinea Bissau,"7 3,354.94"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for FAO Kenya,"5 1,478.32"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for FAO Malawi,"4 7,762.45"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for FAO Mali,"3 0,720.64"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for project GCP/HAI/021/SPA,"3 8,549.73"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for project OSRO/IVC/104/EC,"3 5,272.11"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for project OSRO/KEN/102/EC,"102,229.89"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for project UTF/IVC/027/IVC,"3 5,272.11"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle for various projects,"8 2,548.78"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle pick up,"4 7,905.36"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle with accessories for FAO Sierra Leone,"7 1,387.86"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle with Codan radio for various projects,"196,265.32"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicle with radio for FAO Ethiopia,"7 5,274.44"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD (TGS),Vehicles for FAO Gabon,"9 1,766.60"
United States of America,SEEDBURO EQUIPMENT COMPANY,Agricultural tools for project,"4 2,247.50"
United States of America,AG WORLD INTERNATIONAL,Livestock - goats for project,"9 7,495.00"
United States of America,SEEDBURO EQUIPMENT COMPANY,Miscellaneous seed laboratory material,"130,772.59"
United States of America,DRUMBEATERS OF AMERICA INC,PR 45131 - 1 drumcrushing for Project OSRO/MAG/004/USA,"104,196.80"
United States of America,BOCA PUBLICATIONS GROUP INC,The reference manuals to multiple locations,"3 0,820.00"
Zimbabwe,COOPERS ZIMBABWE (1992) (PVT) LTD,Amitraz Wettable Powder,"895,000.15"
Zimbabwe,ZFC LIMITED,Calcitic Lime and Compound D NPK,"577,500.00"
Zimbabwe,COOPERS ZIMBABWE (1992) (PVT) LTD,Deltamethrin for Project,"192,000.00"
Zimbabwe,OMNIA FERTILIZER ZIMBABWE (PVT) LTD,Fertilizers (NPK Compound D and Calcium Ammonium Nitrate),"404,500.00"
IAEA,,,
Armenia,Armenian Scientific Research Institute for NPP Operation,Laboratory equipment and supplies - specialized,"9 5,046.74"
Australia,CSIRO Exploration and Mining,Non-destructive testing equipment (radioactive),"8 6,053.33"
Australia,GBC Scientific Instrument,"Spectrometers, mass","423,778.53"
Austria,EAS Envimet Analytical Systems,Air Conditioning Equipment,"227,622.96"
Austria,Minerva Wissenschaftliche Buchandlung,Books and Publications.,"6 1,136.37"
Austria,WATERS Ges.m.b.H.,Chromatographic equipment,"3 4,943.65"
Austria,A1 Telekom Austria AG,Computer network equipment and services.,"433,267.88"
Austria,CANBERRA PACKARD Central Europe GmbH,Dosimetry Equipment,"3 7,261.12"
Austria,CANBERRA PACKARD Central Europe GmbH,Dosimetry Equipment,"3 6,722.98"
Austria,TecBit Handelsgesellschaft m.b.H,Electronics.,"119,725.34"
Austria,Dataphone GmbH,Electronics.,"7 8,407.97"
Austria,SCHMIDBERGER ELEKTRO Ges.m.b.H.,Electronics.,"6 6,364.99"
Austria,NATIONAL INSTRUMENTS Ges.m.b.H.,Electronics.,"6 4,151.47"
Austria,Kolbinger Electronic,Electronics.,"6 2,816.60"
Austria,Kapsch BusinessCom AG,Electronics.,"5 2,415.48"
Austria,AMEX EXPORT-IMPORT Ges.m.b.H.,Electronics.,"3 4,249.32"
Austria,HALI-BÜROMÖBEL Ges.m.b.H.,"Furniture, office and industrial","4 5,355.74"
Austria,PFEIFFER VACUUM Austria GmbH,Irradiators,"4 4,628.64"
Austria,THP Medical Products Vertriebs GmbH,"Isotopes, Radioactive","3 8,203.20"
Austria,ACP IT Solutions GmbH,"IT Equipment, Special Purpose","143,462.54"
Austria,Reichholf & Reichholf GmbH,"IT Equipment, Special Purpose","3 2,522.76"
Austria,CARL ZEISS GmbH.,Laboratory equipment and supplies - specialized,"4 6,824.50"
Austria,L+H Vakuumtechnik Vertriebs GmbH,Laboratory equipment and supplies - specialized,"3 5,824.32"
Austria,Thermo Fisher Scientific Messtechnik GmbH,Laboratory equipment and supplies.,"768,760.37"
Austria,Thermo Fisher Scientific Messtechnik GmbH,Laboratory equipment and supplies.,"768,760.37"
Austria,CANBERRA PACKARD Central Europe GmbH,Laboratory equipment and supplies.,"124,063.95"
Austria,CANBERRA PACKARD Central Europe GmbH,Laboratory equipment and supplies.,"8 2,822.37"
Austria,CANBERRA PACKARD Central Europe GmbH,Laboratory equipment and supplies.,"6 8,839.00"
Austria,CANBERRA PACKARD Central Europe GmbH,Laboratory equipment and supplies.,"6 5,568.27"
Austria,CANBERRA PACKARD Central Europe GmbH,Laboratory equipment and supplies.,"6 4,768.76"
Austria,PFEIFFER VACUUM Austria GmbH,Laboratory equipment and supplies.,"5 2,799.37"
Austria,Glogar Umwelttechnik GmbH,Laboratory equipment and supplies.,"4 3,973.09"
Austria,PFEIFFER VACUUM Austria GmbH,Laboratory equipment and supplies.,"3 4,296.29"
Austria,Shimadzu Handelsgesellschaft mbH,Laboratory equipment and supplies.,"3 2,178.24"
Austria,"DMG Austria, Vertriebs und Service GmbH","Machinery, Special Purpose","206,866.43"
Austria,IVELLIO-VELLIN,Notebook computers.,"461,941.12"
Austria,Bechtle GmbH IT-Systemhaus Wien,Notebook computers.,"421,940.42"
Austria,OCE Österreich Ges.m.b.H.,Office machines - specialized,"3 4,230.80"
Austria,Viking Direkt GesmbH,Office supplies and consumables.,"145,365.60"
Austria,Lindeberg GmbH,Operations general supplies.,"3 4,279.72"
Austria,Mondi Uncoated Fine Paper Sales GmbH,"Paper, printing and copying","108,220.49"
Austria,Mondi Uncoated Fine Paper Sales GmbH,"Paper, printing and copying","7 7,916.60"
Austria,IVELLIO-VELLIN,"Personal computers (PC), general purpose (SG Only)","767,113.83"
Austria,Bechtle GmbH IT-Systemhaus Wien,"Personal computers (PC), general purpose (SG Only)","431,322.09"
Austria,S and T Austria GmbH,"Personal computers (PC), general purpose (SG Only)","288,009.23"
