Contractor,Cty,Value in €,Purpose of the Purchase Order,Type,Year,Period,Country,Procurement-or-bidding
IDEALIS CONSULTING,BEL,300000,CONSULTANCY SERVICES ON SAP HR MODULES,Outline Agreement,2012,Q1Q2,Belgium,PROCUREMENT
ALCATEL-LUCENT,BEL,357795,CIS SUPPLY,Orders Awarded,2012,Q3Q4,Belgium,PROCUREMENT
MV PARTS,BEL,375900,EXIDE GEL DRIFYT 12V 115AH,Orders Awarded,2012,Q3Q4,Belgium,PROCUREMENT
CLARK MASTS TEKSAM NV,BEL,377440,MAST + GROUND KIT +BAS,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
GROEP VERBAET NV,BEL,450000,TRANSPORTATION INSURANCE (NATO MEMBER COUNTRIES/DEPLOYED COUNTRIES/AFGH/KOSSOVO),Outline Agreement,2012,Q3Q4,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,579675,ORACLE/SUN SERVERS SUPPORT,Outline Agreement,2012,Q1Q2,Belgium,PROCUREMENT
NATO ACCS MANAGEMENT AGENCY,BEL,596015,PROVISION OF TERMINALS,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
SIMAC NV/SA,BEL,650000,NETSCOUT & GIGAMON SUPPORT,Outline Agreement,2012,Q1Q2,Belgium,PROCUREMENT
DRAEGER BELGIUM SA,BEL,737400,DIVING EQUIPMENT,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
DELOITTE,BEL,916500,SAP BASIC CONTRACTOR SUPPORT SERVICES,Outline Agreement,2012,Q3Q4,Belgium,PROCUREMENT
IDEALIS CONSULTING,BEL,1137000,IMPLEMENTATION OF ITS MOBILE/SERVICES/DEV.CUSTOMER SPECIFIC FUNCTIONS& RF TRANSACTIONS/DOCUMENTATION,Outline Agreement,2012,Q3Q4,Belgium,PROCUREMENT
SEYNTEX NV,BEL,3040153,INFLATABLE TENTS,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
TRADOS GMBH BELGIAN BRANCH,BEL,81361,ANNUAL SOFTWARE MAINTENANCE,Orders Awarded,2013,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,81467,SUPPLY OF MACHINE GUN 7.62 MILLIMETER,Orders Awarded,2013,Q3Q4,Belgium,PROCUREMENT
DOOSAN BENELUX SA,BEL,84720,PROVISION OF SKID STEERS LOADERS,Orders Awarded,2013,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,89349,SUPPLY OF MOTOR WINDSHIEL WIPER ELECTRICAL AND OTHHER HELICOPTER MATERIAL,Orders Awarded,2013,Q3Q4,Belgium,PROCUREMENT
BUSINESS OBJECTS NV,BEL,94990,PROCUREMENT OF AMOSS 2000 LICENSES WITH ANNUAL MAINTENANCE AND SUPPORT,Orders Awarded,2013,Q1Q2,Belgium,PROCUREMENT
GREENHOUSE GROUP,BEL,100318,IN-HOUSE TRAININGS,Outline Agreement,2013,Q3Q4,Belgium,PROCUREMENT
BELGACOM,BEL,104824,PROCUREMENT OF FLYAWAY VTC KITS,Orders Awarded,2013,Q3Q4,Belgium,PROCUREMENT
MV PARTS,BEL,130000,BATTERIES,Outline Agreement,2013,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,134472,SUPPLY OF BEARING FOR OH-58 HELICOPTER,Orders Awarded,2013,Q1Q2,Belgium,PROCUREMENT
TELEVIC AUDIOVISUAL NV,BEL,140552,INSTALLATION OF A NEW VTC SYSTEM IN NSPA'S CONFERENCE ROOMS,Orders Awarded,2013,Q3Q4,Belgium,PROCUREMENT
SAP BELGIUM,BEL,149166,SAP LICENCES,Orders Awarded,2013,Q3Q4,Belgium,PROCUREMENT
PALETTERIES FRANCOIS SA,BEL,150000,EUROPALLETTES,Outline Agreement,2013,Q1Q2,Belgium,PROCUREMENT
DRAEGER BELGIUM SA,BEL,194850,BREATHING APPARATUS,Orders Awarded,2013,Q3Q4,Belgium,PROCUREMENT
AEG BELGIUM SA/NV,BEL,286000,SUPPLY OF CELL  BATTERY FOR AB212 AND ALOUETTE III,Orders Awarded,2013,Q1Q2,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,312607,ORACLE LICENCES,Orders Awarded,2013,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,445291,SUPPLY OF HELICOPTER MATERIAL,Orders Awarded,2013,Q3Q4,Belgium,PROCUREMENT
BELGACOM,BEL,550000,SUPPORT OF CISCO TELEPRESENCE AND VTC SYSTEMS,Outline Agreement,2013,Q3Q4,Belgium,PROCUREMENT
MAG45,BEL,580000,TESTER TORQUE WRENCH,Outline Agreement,2013,Q3Q4,Belgium,PROCUREMENT
SIDEM SERVICE BVBA,BEL,606192,PROVISION OF VEHICLE WASH RACK SYSTEM,Orders Awarded,2013,Q3Q4,Belgium,PROCUREMENT
BELGACOM,BEL,900000,SUPPORT OF POLYCOM VTC SYSTEMS,Outline Agreement,2013,Q3Q4,Belgium,PROCUREMENT
JCB BELGIUM NV,BEL,900000,SPARE PARTS OF JCB,Outline Agreement,2013,Q1Q2,Belgium,PROCUREMENT
UNIFY COMMUNICATIONS NV/SA,BEL,975000,SUPPORT OF SIEMENS HIPATH  SERVERS AND APPLICATIONS,Outline Agreement,2013,Q3Q4,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,1027180,SUPPLY OF CARTRIDGES,Orders Awarded,2013,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,3104250,SUPPLY OF MACHINE GUN 7.62 MILLIMETER  TR SLIDING,Orders Awarded,2013,Q3Q4,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,5000000,SUPPLY OF MACHINE GUNS,Outline Agreement,2013,Q3Q4,Belgium,PROCUREMENT
SEYNTEX NV,BEL,,DCO13041,,2013,Q3Q4,Belgium,BIDDING
ATOS BELGIUM,BEL,,TPA13AO050,,2013,Q3Q4,Belgium,BIDDING
STERIA BENELUX SA,BEL,,TPA13AO050,,2013,Q3Q4,Belgium,BIDDING
BELGACOM,BEL,79523,TREND MICRO SUPPORT RENEWAL,Orders Awarded,2014,Q3Q4,Belgium,PROCUREMENT
KEYSIGHT TECHNOLOGIES BELGIUM,BEL,96586,MICROWAVE ANALOG SIGNAL GENERATOR,Orders Awarded,2014,Q3Q4,Belgium,PROCUREMENT
ATLAS COPCO COMPRESSORS BENELUX,BEL,98973,LOW PRESSURE AIR COMPRESSOR,Orders Awarded,2014,Q1Q2,Belgium,PROCUREMENT
HELPELEK,BEL,104198,NON RECHARGEABLE BATTERY,Orders Awarded,2014,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,109218,BUMPER RUBBER,Orders Awarded,2014,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,123489,CABLAGGIO ELETTRICO,Orders Awarded,2014,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,147589,BEARING ROLLER RADIAL AND THRUST,Orders Awarded,2014,Q3Q4,Belgium,PROCUREMENT
SCANTEC INDUSTRIES NV,BEL,150000,HARD PROTECTIVE CASES,Outline Agreement,2014,Q1Q2,Belgium,PROCUREMENT
PLAY AV,BEL,158679,REPLACEMENT OF CONFERENCE CENTRE EQUIPMENT,Orders Awarded,2014,Q3Q4,Belgium,PROCUREMENT
MICHELIN SA,BEL,184672,TIRE PNEUMATIC VEHICULAR,Orders Awarded,2014,Q1Q2,Belgium,PROCUREMENT
ADVANCED AEROSPACE DESIGNS NV/SA,BEL,187902,VIGIL II AAD,Orders Awarded,2014,Q1Q2,Belgium,PROCUREMENT
SARRI SA,BEL,264783,TIRE PNEUMATIC VEHICULAR,Orders Awarded,2014,Q1Q2,Belgium,PROCUREMENT
BSB BELGIUM,BEL,265858,SAP CONSULTANCY SERVICES,Orders Awarded,2014,Q1Q2,Belgium,PROCUREMENT
NATIONAL INSTRUMENTS BELGIUM NV,BEL,285790,NI PXIE-8840 CORE I5 4400E 2.7GHZ DUAL C,Orders Awarded,2014,Q3Q4,Belgium,PROCUREMENT
CASSIDIAN BELGIUM NV,BEL,304200,MSSR 2000I MODE S 500W,Orders Awarded,2014,Q1Q2,Belgium,PROCUREMENT
DRAEGER BELGIUM SA,BEL,310000,SPARE PARTS FOR DRAEGER PUMP SYSTEM,Outline Agreement,2014,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,313916,BLOCK BOOM,Orders Awarded,2014,Q3Q4,Belgium,PROCUREMENT
BBEAM SPRL,BEL,340000,SUPPORT AND MAINTENANCE OF RADIO STUDIOS,Outline Agreement,2014,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,352491,SEAL,Orders Awarded,2014,Q1Q2,Belgium,PROCUREMENT
DRAEGER BELGIUM SA,BEL,482620,PARTS KIT REGULATOR BREATHING GAS PRESSURE,Orders Awarded,2014,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,850150,WEAPON FOR HELICOPTERS,Orders Awarded,2014,Q1Q2,Belgium,PROCUREMENT
BLACK BOX NETWORK,BEL,1080000,BLACKBOX EQUIPMENT SUPPLY AND SUPPORT,Outline Agreement,2014,Q3Q4,Belgium,PROCUREMENT
ATOS BELGIUM,BEL,15800000,SAP CONSULTANCY SERVICES,Outline Agreement,2014,Q3Q4,Belgium,PROCUREMENT
CHACALLI-DE DECKER N.V.,BEL,,TPA13AP055,,2014,Q1Q2,Belgium,BIDDING
SABIEX INTERNATIONAL S.A.,BEL,,CBO14004,,2014,Q1Q2,Belgium,BIDDING
MICHELIN SA,BEL,,SMA14002,,2014,Q1Q2,Belgium,BIDDING
SARRI PNEUS S.A.,BEL,,SMA14002,,2014,Q1Q2,Belgium,BIDDING
SCANTEC INDUSTRIES NV,BEL,,PIO14011,,2014,Q1Q2,Belgium,BIDDING
VDW ENGINEERING SA,BEL,,SMA14012,,2014,Q1Q2,Belgium,BIDDING
DPS POWER SA,BEL,,PIO14013,,2014,Q1Q2,Belgium,BIDDING
VDW ENGINEERING SA,BEL,,PIO14013,,2014,Q1Q2,Belgium,BIDDING
PART YARD,BEL,,CBO14007,,2014,Q1Q2,Belgium,BIDDING
VDW ENGINEERING SA,BEL,,CBO14007,,2014,Q1Q2,Belgium,BIDDING
ATOS BELGIUM,BEL,,TPA14AO008,,2014,Q1Q2,Belgium,BIDDING
IDEALIS CONSULTING,BEL,,TPA14AO008,,2014,Q1Q2,Belgium,BIDDING
DPS POWER SA,BEL,,CBO14025/CBO14025A,,2014,Q3Q4,Belgium,BIDDING
VDW ENGINEERING SA,BEL,,CBO14025/CBO14025A,,2014,Q3Q4,Belgium,BIDDING
TELENET NV,BEL,,ALG14047,,2014,Q3Q4,Belgium,BIDDING
ROHDE & SCHWARZ BELGIUM SA,BEL,,KTU140073,,2014,Q3Q4,Belgium,BIDDING
FN HERSTAL SA,BEL,96992,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Belgium,PROCUREMENT
ENMO BVBA,BEL,104711,COAX CABLE 3M,Orders Awarded,2015,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,108760,CASE ASSEMBLY TRANS,Orders Awarded,2015,Q1Q2,Belgium,PROCUREMENT
VAREC NV,BEL,137316,PARTS KIT PAD TRACK,Orders Awarded,2015,Q3Q4,Belgium,PROCUREMENT
GREENHOUSE GROUP,BEL,140000,IN-HOUSE TRAINING COURSES,Outline Agreement,2015,Q1Q2,Belgium,PROCUREMENT
SDL BELGIUM,BEL,151969,CONTENTA S1000D USER LICENSES,Orders Awarded,2015,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,159183,INTERFACE UNIT FOR HELICOPTERS,Orders Awarded,2015,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,193836,RESISTOR FIXED COMPOSITION,Orders Awarded,2015,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,197589,BEARING ROD END,Orders Awarded,2015,Q1Q2,Belgium,PROCUREMENT
ALPITEC - PETZL BENELUX,BEL,250000,SAFETY CLIMBING ANS OUTDOOR EQUIPMENT,Outline Agreement,2015,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,296644,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Belgium,PROCUREMENT
SARRI SA,BEL,796550,TIRES,Outline Agreement,2015,Q3Q4,Belgium,PROCUREMENT
ROHDE & SCHWARZ BELGIUM SA,BEL,1055840,MULTIBAND TRANSCEIVERS FOR  AIRCRAFT,Orders Awarded,2015,Q1Q2,Belgium,PROCUREMENT
VAREC NV,BEL,,CBO15005,,2015,Q1Q2,Belgium,BIDDING
SEYNTEX NV,BEL,,MNE150031,,2015,Q1Q2,Belgium,BIDDING
SKF N.V. / S.A.,BEL,,BBE15010,,2015,Q3Q4,Belgium,BIDDING
ELCOS BVBA,BEL,121585,SUPPLY OF SPARE PARTS,Orders Awarded,2016,Q3Q4,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,139400,SUPPLY OF AMMUNITION,Orders Awarded,2016,Q3Q4,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,173130,PURCHASE OF WEAPON,Orders Awarded,2016,Q1Q2,Belgium,PROCUREMENT
KEYSIGHT TECHNOLOGIES BELGIUM,BEL,177530,SUPPLY OF GENERATOR SIGNAL  UXG AGILE,Orders Awarded,2016,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,192570,CONTROL ASSY DIMMER,Orders Awarded,2016,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,233054,TRUNNION ASSEMBLY,Orders Awarded,2016,Q1Q2,Belgium,PROCUREMENT
INTERSOFT ELECTRONICS,BEL,248234,CONTROLCOMPUTER TERMINAL,Orders Awarded,2016,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,248253,COUPLINGFEMALEDRI,Orders Awarded,2016,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,268457,SPRING TOP CLOSURE,Orders Awarded,2016,Q3Q4,Belgium,PROCUREMENT
VAREC NV,BEL,305406,TRACK SHOEVEHICULAR,Orders Awarded,2016,Q3Q4,Belgium,PROCUREMENT
GARTNER BELGIUM BVBA,BEL,600000,CONSULTANCY SERVICES,Outline Agreement,2016,Q3Q4,Belgium,PROCUREMENT
NCIA HQ BRUSSELS,BEL,800857,MICROSOFT LICENSES FOR NSPA 2016,Orders Awarded,2016,Q1Q2,Belgium,PROCUREMENT
INTERSOFT ELECTRONICS,BEL,900000,DLM OSM AND PDS SUPPORT FOR THE S743 RADARS GREECE,Outline Agreement,2016,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,996668,SUPPLY OF AMMUNITION,Orders Awarded,2016,Q3Q4,Belgium,PROCUREMENT
ILIAS-SOLUTIONS,BEL,3500000,PILS SOFTWARE MAINTENANCE,Outline Agreement,2016,Q3Q4,Belgium,PROCUREMENT
PROXIFUEL NV,BEL,,JKO16001,,2016,Q1Q2,Belgium,BIDDING
PETROLIHM NV,BEL,,JKO16001,,2016,Q1Q2,Belgium,BIDDING
CALPAM BELGIUM NV,BEL,,JKO16001,,2016,Q1Q2,Belgium,BIDDING
OCTA+ ENERGIE,BEL,,JKO16001,,2016,Q1Q2,Belgium,BIDDING
MV PARTS,BEL,,DCO16009,,2016,Q1Q2,Belgium,BIDDING
SCANTEC INDUSTRIES NV,BEL,,DCO16009,,2016,Q1Q2,Belgium,BIDDING
MECAR,BEL,,FJA16017,,2016,Q1Q2,Belgium,BIDDING
ELVESIX BVBA,BEL,,PIO16010,,2016,Q1Q2,Belgium,BIDDING
VDW ENGINEERING SA,BEL,,ELK16023,,2016,Q3Q4,Belgium,BIDDING
HELPELEK,BEL,,ABO16008,,2016,Q3Q4,Belgium,BIDDING
ELCOS BVBA,BEL,,ABO16008,,2016,Q3Q4,Belgium,BIDDING
INTERSOFT ELECTRONICS,BEL,,CHR16040,,2016,Q3Q4,Belgium,BIDDING
ELVESIX BVBA,BEL,,SHE16021,,2016,Q3Q4,Belgium,BIDDING
ELCOS BVBA,BEL,89990,"SUPPLY OF PANEL, CONTROL, ELECT",Orders Awarded,2017,Q1Q2,Belgium,PROCUREMENT
KEYSIGHT TECHNOLOGIES BELGIUM,BEL,94927,PURCHASING OF MXA SPECTRUM ANALYZER,Orders Awarded,2017,Q1Q2,Belgium,PROCUREMENT
CLEARED EUROPA SERVICES BVBA,BEL,100879,SERVICES: CONSULTANCY CYBER SECURITY SUPPORT,Orders Awarded,2017,Q1Q2,Belgium,PROCUREMENT
AEG BELGIUM SA/NV,BEL,90508,SUPPLY OF CELL BATTERIES,Orders Awarded,2017,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,1042955,PROCUREMENT OF ITEMS FOR HELI AB 412,Orders Awarded,2017,Q3Q4,Belgium,PROCUREMENT
MECAR,BEL,635511,PROVISION OF AMMUNITION,Orders Awarded,2017,Q3Q4,Belgium,PROCUREMENT
HELPELEK,BEL,550000,SUPPLY OF BATTERIES NON RECHARGEABLE,Outline Agreement,2017,Q3Q4,Belgium,PROCUREMENT
INDUVER INSURANCE,BEL,300000,ALL RISK TRANSPORTATION INSURANCE,Outline Agreement,2017,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,127961,SUPPLY OF COLLAR SHAFT,Orders Awarded,2017,Q3Q4,Belgium,PROCUREMENT
THALES BELGIUM SA,BEL,92990,PURCHASE OF SPARES FOR THE MLRS,Orders Awarded,2017,Q3Q4,Belgium,PROCUREMENT
MV PARTS,BEL,,DCO17006,,2017,Q1Q2,Belgium,BIDDING
MECAR,BEL,,FJA17006R1,,2017,Q1Q2,Belgium,BIDDING
SEYNTEX NV,BEL,,FJA17006R1,,2017,Q1Q2,Belgium,BIDDING
SEYNTEX NV,BEL,,ELK17034,,2017,Q3Q4,Belgium,BIDDING
ELVESIX BVBA,BEL,,ELK17041,,2017,Q3Q4,Belgium,BIDDING
AGS COUSSAERT,BEL,,JKO18001,,2018,Q1Q2,Belgium,BIDDING
BECTON DICKINSON BENELUX NV,BEL,,SHE17015,,2018,Q1Q2,Belgium,BIDDING
MICHELIN SA,BEL,,ABO18004,,2018,Q1Q2,Belgium,BIDDING
"SMITH & NEPHEW BELGIUM",BEL,,SHE17015,,2018,Q1Q2,Belgium,BIDDING
ACAL BFI BELGIUM SA,BEL,82573,PROVISION OF SPARE PARTS FOR PZH2000,Orders Awarded,2018,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,93663,SUPPLY OF SPARE PARTS FOR AB-212,Orders Awarded,2018,Q1Q2,Belgium,PROCUREMENT
ELCOS BVBA,BEL,123825,SUPPLY OF ANTENNA,Orders Awarded,2018,Q1Q2,Belgium,PROCUREMENT
VMZ CO,BGR,1483000,SUPPLY OF AMMUNITION - 40 MM ROUNDS,Orders Awarded,2008,Q1Q2,Bulgaria,PROCUREMENT
VMZ CO,BGR,1483000,SUPPLY OF AMMUNITION - 40 MM ROUNDS,Orders Awarded,2008,Q1Q2,Bulgaria,PROCUREMENT
VMZ CO,BGR,607420,AMMUNITION SUPPLIES,Orders Awarded,2010,Q3Q4,Bulgaria,PROCUREMENT
VMZ CO,BGR,607420,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Bulgaria,PROCUREMENT
OPTIX CO,BGR,877680,MULTIFUNCTIONAL-THERMAL DEVICE,Orders Awarded,2011,Q1Q2,Bulgaria,PROCUREMENT
VMZ CO,BGR,18341800,RPG 7 VL HEAT ROCKETS,Orders Awarded,2011,Q3Q4,Bulgaria,PROCUREMENT
ARMAR CORP GENERAL TECHNICAL,BGR,366588,MAILLONS & AMMO BOXES FOR MACHINE GUN,Orders Awarded,2012,Q3Q4,Bulgaria,PROCUREMENT
OPTIX CO,BGR,877680,MULTIFUNCTIONAL-THERMAL IMAGING DEVICE,Orders Awarded,2012,Q1Q2,Bulgaria,PROCUREMENT
VMZ CO,BGR,979000,PURCHASE OF AMMUNITION,Orders Awarded,2012,Q1Q2,Bulgaria,PROCUREMENT
VMZ CO,BGR,2746000,SUPPLY OF AMMUNITION,Orders Awarded,2014,Q3Q4,Bulgaria,PROCUREMENT
DUNARIT CORP.,BGR,,APL14006,,2014,Q1Q2,Bulgaria,BIDDING
TEREM - IVAILO PLTD,BGR,,APL14006,,2014,Q1Q2,Bulgaria,BIDDING
VMZ AD,BGR,,FJA14010,,2014,Q1Q2,Bulgaria,BIDDING
AVIONAMS JSC,BGR,,ANH14026,,2014,Q3Q4,Bulgaria,BIDDING
OPTIX JSC,BGR,,MNE140030A,,2014,Q3Q4,Bulgaria,BIDDING
G&V LTD,BGR,,PIO14038,,2014,Q3Q4,Bulgaria,BIDDING
VMZ CO,BGR,680000,PURCHASES OF AMMUNITION,Orders Awarded,2015,Q3Q4,Bulgaria,PROCUREMENT
ARCUS CO,BGR,1200000,PURCHASES OF AMMUNITION,Outline Agreement,2015,Q3Q4,Bulgaria,PROCUREMENT
VMZ AD,BGR,,STE15013,,2015,Q3Q4,Bulgaria,BIDDING
VMZ CO VAZOVSKI MASHINOSTROITELNI,BGR,3910500,SUPPLY OF AMMUNITION,Orders Awarded,2016,Q3Q4,Bulgaria,PROCUREMENT
AVIONAMS JSC,BGR,,ANH15030,,2016,Q1Q2,Bulgaria,BIDDING
VAZOVSKI MASHINOSTROITELNI ZAVODI EAD,BGR,,FJA16011,,2016,Q1Q2,Bulgaria,BIDDING
LOGISTIC SOLUTIONS EUROPE LTD,BGR,,BBE15900,,2016,Q1Q2,Bulgaria,BIDDING
AW TRONICS HOLDING,BGR,,MPI16250,,2016,Q3Q4,Bulgaria,BIDDING
MATRIX RELOCATIONS EOOD,BGR,,DDZ16001,,2016,Q3Q4,Bulgaria,BIDDING
ARSENAL JS,BGR,4320000,PROVISION OF AMMUNITION,Orders Awarded,2017,Q3Q4,Bulgaria,PROCUREMENT
VMZ CO VAZOVSKI MASHINOSTROITELNI Z,BGR,237000,PROVISION OF AMMUNITION,Orders Awarded,2017,Q3Q4,Bulgaria,PROCUREMENT
ARSENAL JS,BGR,,FJA17007,,2017,Q1Q2,Bulgaria,BIDDING
VMZ CO VAZOVSKI MASHINOSTROITELNI,BGR,,DCO17006,,2017,Q1Q2,Bulgaria,BIDDING
BRISTOL AEROSPACE LTD,CAN,1488744,PROCUREMENT OF BOOSTERS FOR CL289,Orders Awarded,2008,Q1Q2,Canada,PROCUREMENT
BRISTOL AEROSPACE LTD,CAN,1488744,PROCUREMENT OF BOOSTERS FOR CL289,Orders Awarded,2008,Q1Q2,Canada,PROCUREMENT
GENERAL DYNAMICS CANADA LTD,CAN,218650,AWACS SUPPLIES,Orders Awarded,2009,Q3Q4,Canada,PROCUREMENT
HEROUX-DEVTEK INC,CAN,407784,AWACS SUPPLIES,Orders Awarded,2009,Q1Q2,Canada,PROCUREMENT
ECO WASTE SOLUTIONS,CAN,2860524,CAPABILITY PACKAGES SERVICES,Orders Awarded,2009,Q1Q2,Canada,PROCUREMENT
ATCO FRONTEC,CAN,3150000,GENCIS&NCCAP SERVICES,Orders Awarded,2009,Q3Q4,Canada,PROCUREMENT
NAVHOUSE CANADA,CAN,null,FIXED WING AIRCRAFT SERVICES,Outline Agreement,2009,Q3Q4,Canada,PROCUREMENT
DIVELINK UNDERWATER COMMUNICATIONS,CAN,231787,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2010,Q3Q4,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,242824,NLSE SUPPLIES,Orders Awarded,2010,Q1Q2,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,244769,NLSE SUPPLIES,Orders Awarded,2010,Q1Q2,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,281731,NLSE SUPPLIES,Orders Awarded,2010,Q1Q2,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,284098,NLSE SUPPLIES,Orders Awarded,2010,Q1Q2,Canada,PROCUREMENT
HEROUX-DEVTEK INC,CAN,336927,AWACS SUPPLIES,Orders Awarded,2010,Q3Q4,Canada,PROCUREMENT
GENERAL DYNAMICS,CAN,831228,AMMUNITION SUPPLIES,Orders Awarded,2010,Q3Q4,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,997122,NLSE SUPPLIES,Orders Awarded,2010,Q1Q2,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,1803720,NLSE SUPPLIES,Orders Awarded,2010,Q1Q2,Canada,PROCUREMENT
SKYLINK AVIATION INC,CAN,null,COMMERCIAL AIR TRANSPORTATION SERVICES,Outline Agreement,2010,Q3Q4,Canada,PROCUREMENT
MHD-ROCKLAND,CAN,76883,OVERHAUL OF LANDING GEAR AND STRUT SUB ASSY SYSTEMS,Outline Agreement,2011,Q3Q4,Canada,PROCUREMENT
VESTSHELL INC,CAN,84174,ITAS CASTING,Outline Agreement,2011,Q3Q4,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,88514,M113 A3 DOUBLE LINK GROUSER ASSEMBL,Orders Awarded,2011,Q3Q4,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,88514,M113 A3 DOUBLE LINK GROUSER ASSEMBL,Orders Awarded,2011,Q1Q2,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,93368,M113 A2 RUBBER TRACK 105 PITCHES,Orders Awarded,2011,Q3Q4,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,93368,M113 A2 RUBBER TRACK 105 PITCHES,Orders Awarded,2011,Q1Q2,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,94509,M113 A2 RUBBER TRACK 106 PITCHES,Orders Awarded,2011,Q3Q4,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,94509,M113 A2 RUBBER TRACK 106 PITCHES,Orders Awarded,2011,Q1Q2,Canada,PROCUREMENT
ALLEN-VANGUARD LTD,CAN,95989,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Canada,PROCUREMENT
MDA SYSTEMS LTD,CAN,107550,GPD SOFTWARE MAINTENANCE,Orders Awarded,2011,Q1Q2,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,127240,M113 A3 RUBBER TRACK 105 PITCHES,Orders Awarded,2011,Q3Q4,Canada,PROCUREMENT
SOUCY INTERNATIONAL INC.,CAN,128259,M113 A3 RUBBER TRACK 106 PITCHES,Orders Awarded,2011,Q3Q4,Canada,PROCUREMENT
DIVELINK UNDERWATER COMMUNICATIONS,CAN,231787,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2011,Q1Q2,Canada,PROCUREMENT
CADSI-THE CANADIAN ASSOCIATION OF,CAN,238583,ORGANIZATION OF THE NATD (NORTH AMERICAN TECHNOLOGY DEMONSTRATION) IN OTTAWA,Outline Agreement,2011,Q1Q2,Canada,PROCUREMENT
HEROUX-DEVTEK INC,CAN,336927,AWACS SUPPLIES,Orders Awarded,2011,Q1Q2,Canada,PROCUREMENT
STANDARD AERO LTD,CAN,347899,HELICOPTER SERVICES,Outline Agreement,2011,Q1Q2,Canada,PROCUREMENT
CUSTOM PROTECT EAR INC,CAN,542722,FIXED WING A/C SUPPLIES,Outline Agreement,2011,Q1Q2,Canada,PROCUREMENT
